backbone_km,n_repeaters,hops,utility,status
145.5,2,3,-0.3461697373442821,optimal
146.0,2,3,-0.35824947587114603,optimal
146.5,2,3,-0.3703292143980093,optimal
147.0,2,3,-0.3824089529248716,optimal
147.5,2,3,-0.39448869145173476,optimal
148.0,2,3,-0.406568429978599,optimal
148.5,2,3,-0.4186481685054613,optimal
149.0,2,3,-0.4307279070323239,optimal
149.5,2,3,-0.44280764555918795,optimal
150.0,2,3,-0.4548873840860509,optimal
150.5,2,3,-0.4669671226129135,optimal
151.0,2,3,-0.4790468611397765,optimal
151.5,2,3,-0.49112659966664063,optimal
152.0,2,3,-0.5032063381935031,optimal
152.5,2,3,-0.5152860767203663,optimal
153.0,2,3,-0.5273658152472298,optimal
153.5,2,3,-0.5394455537740929,optimal
154.0,2,3,-0.5515252923009559,optimal
154.5,2,3,-0.5636050308278184,optimal
155.0,2,3,-0.5756847693546825,optimal
155.5,2,3,-0.5877645078815453,optimal
156.0,2,3,-0.5998442464084082,optimal
156.5,2,3,-0.6119239849352716,optimal
157.0,2,3,-0.6240037234621353,optimal
157.5,2,3,-0.6360834619889979,optimal
158.0,2,3,-0.6481632005158607,optimal
158.5,2,3,-0.6602429390427242,optimal
159.0,2,3,-0.6723226775695873,optimal
159.5,2,3,-0.6844024160964506,optimal
160.0,2,3,-0.696482154623313,optimal
160.5,2,3,-0.7085618931501768,optimal
161.0,2,3,-0.7206416316770403,optimal
161.5,2,3,-0.7327213702039026,optimal
162.0,2,3,-0.744801108730766,optimal
162.5,2,3,-0.7568808472576298,optimal
163.0,2,3,-0.7689605857844922,optimal
163.5,2,3,-0.7810403243113548,optimal
164.0,2,3,-0.7931200628382188,optimal
164.5,2,3,-0.8051998013650818,optimal
165.0,2,3,-0.8172795398919445,optimal
165.5,2,3,-0.8293592784188079,optimal
166.0,2,3,-0.8414390169456716,optimal
166.5,2,3,-0.8535187554725341,optimal
167.0,2,3,-0.8655984939993973,optimal
167.5,2,3,-0.8776782325262604,optimal
168.0,2,3,-0.8897579710531237,optimal
168.5,2,3,-0.9018377095799869,optimal
169.0,2,3,-0.9139174481068496,optimal
169.5,2,3,-0.9259971866337133,optimal
170.0,2,3,-0.9380769251605767,optimal
170.5,2,3,-0.9501566636874389,optimal
171.0,2,3,-0.9622364022143025,optimal
171.5,2,3,-0.9743161407411663,optimal
172.0,2,3,-0.9863958792680289,optimal
172.5,2,3,-0.9984756177948918,optimal
173.0,2,3,-1.010555356321755,optimal
173.5,2,3,-1.0226350948486185,optimal
174.0,2,3,-1.0347148333754816,optimal
174.5,2,3,-1.0467945719023442,optimal
175.0,2,3,-1.058874310429207,optimal
175.5,2,3,-1.0709540489560712,optimal
176.0,2,3,-1.0830337874829337,optimal
176.5,2,3,-1.095113526009797,optimal
177.0,2,3,-1.1071932645366602,optimal
177.5,2,3,-1.1192730030635234,optimal
178.0,2,3,-1.1313527415903866,optimal
178.5,2,3,-1.1434324801172497,optimal
179.0,2,3,-1.1555122186441131,optimal
179.5,2,3,-1.1675919571709754,optimal
180.0,2,3,-1.1796716956978386,optimal
180.5,2,3,-1.1917514342247026,optimal
181.0,2,3,-1.2038311727515651,optimal
181.5,2,3,-1.2159109112784285,optimal
182.0,2,3,-1.2279906498052915,optimal
182.5,2,3,-1.2400703883321549,optimal
183.0,2,3,-1.2521501268590178,optimal
183.5,2,3,-1.264229865385881,optimal
184.0,2,3,-1.2763096039127444,optimal
184.5,2,3,-1.2883893424396078,optimal
185.0,2,3,-1.3004690809664692,optimal
185.5,2,3,-1.3125488194933332,optimal
186.0,2,3,-1.3246285580201973,optimal
186.5,2,3,-1.336708296547059,optimal
187.0,2,3,-1.3487880350739232,optimal
187.5,2,3,-1.360867773600786,optimal
188.0,2,3,-1.3729475121276484,optimal
188.5,2,3,-1.3850272506545125,optimal
189.0,2,3,-1.3971069891813757,optimal
189.5,2,3,-1.4091867277082382,optimal
190.0,2,3,-1.421266466235102,optimal
190.5,2,3,-1.433346204761964,optimal
191.0,2,3,-1.445425943288828,optimal
191.5,2,3,-1.457505681815692,optimal
192.0,2,3,-1.4695854203425536,optimal
192.5,2,3,-1.4816651588694165,optimal
193.0,2,3,-1.4937448973962808,optimal
193.5,2,3,-1.5058246359231433,optimal
194.0,2,3,-1.5179043744500063,optimal
194.5,3,4,-1.5282098017879702,optimal
195.0,3,4,-1.5372696056831179,optimal
195.5,3,4,-1.5463294095782647,optimal
196.0,3,4,-1.555389213473412,optimal
196.5,3,4,-1.5644490173685592,optimal
197.0,3,4,-1.5735088212637074,optimal
197.5,3,4,-1.5825686251588544,optimal
198.0,3,4,-1.591628429054002,optimal
198.5,3,4,-1.6006882329491487,optimal
199.0,3,4,-1.6097480368442965,optimal
199.5,3,4,-1.6188078407394442,optimal
200.0,3,4,-1.6278676446345914,optimal
200.5,3,4,-1.636927448529739,optimal
201.0,3,4,-1.645987252424886,optimal
201.5,3,4,-1.6550470563200332,optimal
202.0,3,4,-1.6641068602151812,optimal
202.5,3,4,-1.6731666641103284,optimal
203.0,3,4,-1.6822264680054748,optimal
203.5,3,4,-1.6912862719006225,optimal
204.0,3,4,-1.70034607579577,optimal
204.5,3,4,-1.709405879690917,optimal
