point,budget,memories,plan,pair,hops,width,max_link_km,wp_min,tau_e2e_ms,storage_ms_heralded,slowest_ms_heralded,t2_ms,repeaters
projected,1000000,2048,base_coord,Kamloops-Saskatoon,16,256,80.0,0.4057326572700452,12.400000000000002,17.99431469535813,1.9701787884406035,100.0,KAM-CAL:1;KAM-CAL:2;KAM-CAL:3;KAM-CAL:4;KAM-CAL:5;KAM-CAL:6;KAM-CAL:7;Calgary;CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7
projected,1000000,2048,base_coord,Kamloops-Vancouver,5,512,72.0,1.5462152808458323,3.6000000000000005,4.568647083841976,0.46494966014889594,100.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,base_coord,Kelowna-Saskatoon,16,256,80.0,0.4057326572700452,12.5,18.239576756573097,1.9701787884406035,100.0,KEL-CAL:1;KEL-CAL:2;KEL-CAL:3;KEL-CAL:4;KEL-CAL:5;KEL-CAL:6;KEL-CAL:7;Calgary;CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7
projected,1000000,2048,base_coord,Kelowna-Vancouver,8,512,72.0,1.5462152808458323,5.500000000000001,6.542323734296366,0.46494966014889594,100.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,base_coord,Montreal-Ottawa,3,1024,66.7,4.752986965619489,2.0,2.20990582612762,0.1399369018904885,100.0,OTT-MON:2;OTT-MON:1
projected,1000000,2048,base_coord,Montreal-Toronto,9,1024,75.0,2.428286674597535,6.500000000000001,7.2424262149634036,0.30849338787557035,100.0,OTT-MON:2;OTT-MON:1;Ottawa;TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
projected,1000000,2048,base_coord,Ottawa-Toronto,6,1024,75.0,2.428286674597535,4.500000000000001,5.204394629984817,0.30849338787557035,100.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
projected,1000000,2048,base_coord,Saskatoon-Vancouver,20,512,144.0,0.004669495497502257,16.0,324.36334323345966,308.3830864131333,100.0,CAL-SAS:7;CAL-SAS:6;CAL-SAS:5;CAL-SAS:4;CAL-SAS:3;CAL-SAS:2;CAL-SAS:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,wait_paper_storage_heralded,Calgary-Edmonton,4,512,75.0,1.2141433372987676,3.0,4.131144793529469,0.6169867757511408,100.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
projected,1000000,2048,wait_paper_storage_heralded,Calgary-Kamloops,8,256,75.0,0.6070716686493838,6.0,9.199523324219632,1.2339735515022814,100.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
