point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,paper_status,paper_utility,paper_repeaters,paper_served,paper_mean_hops,coordinated_status,coordinated_utility,coordinated_repeaters,coordinated_served,coordinated_mean_hops,paper_min_wp,paper_median_wp,coordinated_outcome,coordinated_change_kind,coordinated_regret_bits,coordinated_reverse_regret_bits,coordinated_regret_bits_per_pair,coordinated_site_jaccard,coordinated_sites_only_paper,coordinated_sites_only_other,coordinated_d_repeaters,coordinated_d_served,coordinated_pairs_path_differs,coordinated_pairs_width_differs,coordinated_d_mean_hops,coordinated_d_mean_width,coordinated_rate_gain_bits_common
lhs035,lhs,3157.123373018492,0.09170793893225003,0.9665322362738368,0.6185638703869509,10,2048,optimal,-211.9815278269629,10,16,3.25,optimal,-219.19274779769657,10,16,3.25,8.095430810031051e-09,5.0681735890487804e-08,tie,,0.0,0.0,0.0,0.8181818181818182,1.0,1.0,0.0,0.0,4.0,4.0,0.0,16.0,-9.71445146547012e-17
lhs036,lhs,151260.4795416896,0.0013913286006054743,0.9441752794699567,0.8156591373198028,1000000,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs036,lhs,151260.4795416896,0.0013913286006054743,0.9441752794699567,0.8156591373198028,20,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs036,lhs,151260.4795416896,0.0013913286006054743,0.9441752794699567,0.8156591373198028,10,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs037,lhs,2236.5683956633898,0.045781436824910794,0.9287158161388781,0.8699605879663843,1000000,2048,optimal,59.062874484993245,54,18,6.444444444444445,optimal,37.5448665837107,55,18,6.555555555555555,2.8723672430130368e-06,0.6070716686493838,changed,routing,0.333157367625148,0.8399099343552763,0.018508742645841555,0.9818181818181818,0.0,1.0,1.0,0.0,3.0,4.0,0.1111111111111111,0.0,0.11481461980972102
lhs037,lhs,2236.5683956633898,0.045781436824910794,0.9287158161388781,0.8699605879663843,20,2048,optimal,-34.109940781005356,20,18,5.888888888888889,optimal,-50.22919339484247,20,18,5.944444444444445,1.7069074331690547e-06,0.002722633110573114,changed,routing,0.3137877556095887,0.4745662863308979,0.017432653089421594,0.8181818181818182,2.0,2.0,0.0,0.0,6.0,8.0,0.05555555555555555,0.0,0.032631999485262485
lhs037,lhs,2236.5683956633898,0.045781436824910794,0.9287158161388781,0.8699605879663843,10,2048,optimal,-209.86032310886696,10,16,3.25,optimal,-217.07154307960067,10,16,3.25,8.095430810031051e-09,2.9388583350259428e-08,tie,,2.842170943040401e-14,0.0,1.7763568394002505e-15,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,32.0,-6.938893903907228e-17
lhs038,lhs,1168.22566619144,0.002328309843532544,0.9732695247332884,0.750729482287499,1000000,2048,optimal,23.125846448845056,4,2,3.0,optimal,21.384597051667484,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs038,lhs,1168.22566619144,0.002328309843532544,0.9732695247332884,0.750729482287499,20,2048,optimal,23.125846448845056,4,2,3.0,optimal,21.384597051667484,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs038,lhs,1168.22566619144,0.002328309843532544,0.9732695247332884,0.750729482287499,10,2048,optimal,23.125846448845056,4,2,3.0,optimal,21.384597051667484,4,2,3.0,9.505973931238978,10.97073744949521,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs039,lhs,1975.798593232961,0.0043372401014757835,0.9709098866366557,0.855323319491284,1000000,2048,optimal,55.29161566172095,15,5,4.0,optimal,50.11434179956804,15,5,4.0,1.9067772279427784,4.85657334919507,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs039,lhs,1975.798593232961,0.0043372401014757835,0.9709098866366557,0.855323319491284,20,2048,optimal,55.29161566172095,15,5,4.0,optimal,50.11434179956804,15,5,4.0,1.9067772279427784,4.85657334919507,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhs039,lhs,1975.798593232961,0.0043372401014757835,0.9709098866366557,0.855323319491284,10,2048,optimal,32.42441771603988,10,5,3.0,optimal,29.193328827013463,10,5,3.0,0.009338990995004515,0.037754317460680434,tie,,0.0,0.0,0.0,0.6666666666666666,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
