point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated,utility_under_ext
projected,20,100,coordinated,Kelowna-Vancouver,4,27,144.0,KAM-KEL:1;VAN-KAM:4;VAN-KAM:2,0.0002462429266260956,4.376832518792575,3.705236761869039,-28.564480637897212
projected,20,100,coordinated,Montreal-Ottawa,3,27,66.7,OTT-MON:2;OTT-MON:1,0.12532289850754513,13.447990890572596,12.57684795799653,7.196809503183356
projected,20,100,coordinated,Montreal-Toronto,5,52,150.0,OTT-MON:1;TOR-OTT:5;TOR-OTT:4;TOR-OTT:2,0.00029241748909898153,4.544965624333222,3.867443821186786,-30.87505599436296
projected,20,100,coordinated,Ottawa-Toronto,4,27,150.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:2,0.00015183215780139426,3.6792276188662294,3.0941872402984103,-17.02512850039741
projected,20,100,coordinated,Saskatoon-Vancouver,12,7,151.4,EDM-SAS:5;EDM-SAS:3;EDM-SAS:1;CAL-EDM:3;CAL-EDM:1;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,3.508310635390915e-05,0.9268606293303272,-0.512925079932049,-158.70513115560493
projected,15,100,paper,Calgary-Edmonton,4,27,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.0640270900528647,12.399288867945556,11.342078951206348,0.3266434913332261
projected,15,100,paper,Calgary-Kamloops,5,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1,7.872778552664888e-05,2.6518808282497344,1.7773338797792697,-34.48362104735317
projected,15,100,paper,Calgary-Kelowna,6,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;KAM-KEL:1,7.872778552664888e-05,2.5720586929199047,1.6764588783464178,-52.825192917199544
projected,15,100,paper,Calgary-Saskatoon,6,27,151.4,CAL-EDM:2;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.00013532055307936385,3.353494868281405,2.2088828458434353,-51.81262824673529
projected,15,100,paper,Calgary-Vancouver,7,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,7.872778552664888e-05,2.492228589859717,1.4184719906715861,-68.86289770558476
projected,15,100,paper,Edmonton-Kamloops,4,7,300.0,CAL-EDM:1;KAM-CAL:5;KAM-CAL:3,2.2135943621178655e-10,-15.708427459398287,-15.708604381368328,-77.04687714001724
projected,15,100,paper,Edmonton-Kelowna,8,7,150.0,CAL-EDM:2;CAL-EDM:1;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;KAM-KEL:1,3.936389276332444e-05,1.41239047583717,0.2144548526048787,-88.23816240929855
projected,15,100,paper,Edmonton-Saskatoon,4,27,151.4,EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.00013532055307936385,3.5131312141218647,2.6385831848062855,-26.279850077659404
projected,15,100,paper,Edmonton-Vancouver,9,14,150.0,CAL-EDM:3;CAL-EDM:1;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,7.872778552664888e-05,2.3325443072962417,1.041645978382847,-96.28822260722086
projected,15,100,paper,Kamloops-Kelowna,2,27,126.7,KAM-KEL:1,0.0009954751674202849,6.551740379647151,6.551642628496326,3.8297773330009486
projected,15,100,paper,Kamloops-Saskatoon,10,14,151.4,KAM-CAL:1;KAM-CAL:3;KAM-CAL:5;KAM-CAL:7;CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,7.01662127078183e-05,2.086593635609302,0.682564411235918,-112.32614669360431
